year,state_lyme,cdc_lyme,gf,rf,coy,temp,rain
2001,129,129,1.76,2.21,1.2,44.6,34.87
2002,262,261,1.86,2.67,2.15,44.5,44.89
2003,192,190,1.54,1.95,2.72,42.5,50.38
2004,228,226,1.37,2.17,1.88,43,43.24
2005,271,265,1.52,1.86,1.59,44,61.09
2006,624,617,0.86,1.52,1.85,45.8,58.25
2007,901,896,1.12,2.04,1.77,43.1,48.33
2008,1615,1594,1.24,1.64,2.77,43.9,60.78
2009,1425,1415,1.3,1.66,2.3,43,51.67
2010,1342,1339,1.2,1.41,2,46,50
2011,1301,1299,1.52,1.51,1.92,44.9,57.49
2012,1460,1450,1.33,1.8,2.4,46.6,45.18
2013,1689,1679,1.07,1.34,1.46,44.2,45.76
2014,1380,674,0.92,1.13,1.21,43.1,49.64
2015,1371,516,0.69,1.12,1.21,43.6,44.01
2016,1769,852,0.77,0.88,1.06,45.7,39.57
2017,1743,1318,0.55,0.83,1.41,44.9,49.17
2018,1382,1377,1.02,1.63,1.52,44.5,51.8
2019,1713,1689,1.73,2.06,2.17,43.3,50.25